id,name,market_cap,price,circular_supply,changes_24h,max_supply,url,hist_url,changes_1h,platform_symbol,name_notation,market_url,description,logo_url,logo_filepath,changes_7d,symbol,type,platform,volume_24h,volume_7d,volume_30d,created_at,is_deleted,modified_at,crypto_compare_symbol
1321,Faceblock,0,0.249029,,,"10,000,000 FBL",https://coinmarketcap.com/currencies/faceblock/,https://coinmarketcap.com/currencies/faceblock/historical-data/?start=20171116&end=20171117,22.99,ETH,faceblock,https://coinmarketcap.com/currencies/faceblock/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/faceblock.png,/home/Alluminate/alluminate/media/logo/faceblock.png,,FBL,asset,Ethereum,39116,,,2017-11-16,false,2017-11-17,
366,OctoCoin,108472,0.002162,50161900,2.67,,https://coinmarketcap.com/currencies/octocoin/,https://coinmarketcap.com/currencies/octocoin/historical-data/?start=20171116&end=20171117,-0.53,,octocoin,https://coinmarketcap.com/currencies/octocoin/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/octocoin.png,/home/Alluminate/alluminate/media/logo/octocoin.png,7.55,888,currency,,,,,2017-10-10,false,2017-11-17,
363,Firecoin,84652,0.860177,98412,,,https://coinmarketcap.com/currencies/firecoin/,https://coinmarketcap.com/currencies/firecoin/historical-data/?start=20171116&end=20171117,,,firecoin,https://coinmarketcap.com/currencies/firecoin/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/firecoin.png,/home/Alluminate/alluminate/media/logo/firecoin.png,19.2,FIRE,currency,,,,,2017-10-10,false,2017-11-17,
198,Breakout Stake,3350027,0.534458,6268082,5.1,,https://coinmarketcap.com/currencies/breakout-stake/,https://coinmarketcap.com/currencies/breakout-stake/historical-data/?start=20171116&end=20171117,-0.86,,breakout-stake,https://coinmarketcap.com/currencies/breakout-stake/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/breakout-stake.png,/home/Alluminate/alluminate/media/logo/breakout-stake.png,4.02,BRX,currency,,22725,,,2017-10-10,false,2017-11-17,
199,TrustPlus,3240040,0.100978,32086595,-0.86,,https://coinmarketcap.com/currencies/trustplus/,https://coinmarketcap.com/currencies/trustplus/historical-data/?start=20171116&end=20171117,0.52,,trustplus,https://coinmarketcap.com/currencies/trustplus/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/trustplus.png,/home/Alluminate/alluminate/media/logo/trustplus.png,-5.97,TRUST,currency,,76807,,,2017-10-10,false,2017-11-17,
359,BeaverCoin,51621,0.01657,3115258,4.5,,https://coinmarketcap.com/currencies/beavercoin/,https://coinmarketcap.com/currencies/beavercoin/historical-data/?start=20171116&end=20171117,2.65,,beavercoin,https://coinmarketcap.com/currencies/beavercoin/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/beavercoin.png,/home/Alluminate/alluminate/media/logo/beavercoin.png,10.58,BVC,currency,,,,,2017-10-10,false,2017-11-17,
1062,FuturXe,465392,1.98,235421,-2.45,"84,000,000 FXE",https://coinmarketcap.com/currencies/futurexe/,https://coinmarketcap.com/currencies/futurexe/historical-data/?start=20171116&end=20171117,-0.67,ETH,futurexe,https://coinmarketcap.com/currencies/futurexe/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/futurexe.png,/home/Alluminate/alluminate/media/logo/futurexe.png,13.08,FXE,asset,Ethereum,2109,,,2017-10-10,false,2017-11-17,
397,Magnum,17643,0.004507,3914421,62.07,"253,914,421 MGM",https://coinmarketcap.com/currencies/magnum/,https://coinmarketcap.com/currencies/magnum/historical-data/?start=20171116&end=20171117,-0.67,,magnum,https://coinmarketcap.com/currencies/magnum/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/magnum.png,/home/Alluminate/alluminate/media/logo/magnum.png,57.52,MGM,currency,,,,,2017-10-10,false,2017-11-17,
364,DROXNE,117878,0.001895,62212717,5.14,"82,780,789 DRXNE",https://coinmarketcap.com/currencies/droxne/,https://coinmarketcap.com/currencies/droxne/historical-data/?start=20171116&end=20171117,-0.62,,droxne,https://coinmarketcap.com/currencies/droxne/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/droxne.png,/home/Alluminate/alluminate/media/logo/droxne.png,-5.74,DRXNE,currency,,621,,,2017-10-10,false,2017-11-17,
369,X-Coin,93036,0.007512,12384976,10.11,,https://coinmarketcap.com/currencies/x-coin/,https://coinmarketcap.com/currencies/x-coin/historical-data/?start=20171116&end=20171117,-0.74,,x-coin,https://coinmarketcap.com/currencies/x-coin/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/x-coin.png,/home/Alluminate/alluminate/media/logo/x-coin.png,18.91,XCO,currency,,,,,2017-10-10,false,2017-11-17,
345,Virta Unique ...,87385,0.001424,61357975,-9.67,"120,000,000 VUC",https://coinmarketcap.com/currencies/virta-unique-coin/,https://coinmarketcap.com/currencies/virta-unique-coin/historical-data/?start=20171116&end=20171117,-0.8,,virta-unique-coin,https://coinmarketcap.com/currencies/virta-unique-coin/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/virta-unique-coin.png,/home/Alluminate/alluminate/media/logo/virta-unique-coin.png,-4.1,VUC,currency,,1083,,,2017-10-10,false,2017-11-17,
